Time,AD3_0_ai0,AD3_0_ai1
35.4 sec,2.97074808945821,3.03656101074916
35.5 sec,2.97074808945821,3.03656101074916
35.6 sec,2.97166098575893,3.03656101074916
35.7 sec,2.97166098575893,3.03656101074916
35.8 sec,2.97074808945821,3.03564702255075
35.9 sec,2.97074808945821,3.03656101074916
36 sec,2.97074808945821,3.03564702255075
36.1 sec,2.97074808945821,3.03564702255075
36.2 sec,2.97074808945821,3.03656101074916
36.3 sec,2.96983519315748,3.03564702255075
36.4 sec,2.97074808945821,3.03656101074916
36.5 sec,2.96983519315748,3.03656101074916
36.6 sec,2.97074808945821,3.038388987146
36.7 sec,2.97074808945821,3.03747499894758
36.8 sec,2.97166098575893,3.03656101074916
36.9 sec,2.97166098575893,3.03747499894758
37 sec,2.97166098575893,3.03747499894758
37.1 sec,2.97166098575893,3.03747499894758
37.2 sec,2.97074808945821,3.03656101074916
37.3 sec,2.97166098575893,3.03656101074916
37.4 sec,2.97074808945821,3.03656101074916
37.5 sec,2.97074808945821,3.03747499894758
37.6 sec,2.97074808945821,3.03564702255075
37.7 sec,2.97074808945821,3.03656101074916
37.8 sec,2.97074808945821,3.03656101074916
37.9 sec,2.97074808945821,3.03656101074916
38 sec,2.97074808945821,3.03656101074916
38.1 sec,2.97074808945821,3.03656101074916
38.2 sec,2.97074808945821,3.03656101074916
38.3 sec,2.97074808945821,3.03564702255075
38.4 sec,2.97074808945821,3.03656101074916
38.5 sec,2.97074808945821,3.03656101074916
38.6 sec,2.97166098575893,3.03656101074916
38.7 sec,2.97074808945821,3.03656101074916
38.8 sec,2.97074808945821,3.03656101074916
38.9 sec,2.97166098575893,3.03656101074916
39 sec,2.97074808945821,3.03564702255075
39.1 sec,2.96983519315748,3.03473303435233
39.2 sec,2.96983519315748,3.03473303435233
39.3 sec,2.96983519315748,3.03473303435233
39.4 sec,2.97074808945821,3.03564702255075
39.5 sec,2.97166098575893,3.03564702255075
39.6 sec,2.96983519315748,3.03564702255075
39.7 sec,2.97074808945821,3.03473303435233
39.8 sec,2.97166098575893,3.03656101074916
39.9 sec,2.97074808945821,3.03656101074916
40 sec,2.97074808945821,3.03656101074916
40.1 sec,2.97074808945821,3.03656101074916
40.2 sec,2.97166098575893,3.03564702255075
40.3 sec,2.97257388205966,3.03656101074916
40.4 sec,2.97074808945821,3.03564702255075
40.5 sec,2.97074808945821,3.03656101074916
40.6 sec,2.96983519315748,3.03473303435233
